rank	time
1	5:58
2	5:58
3	6:17
4	6:24
4	6:24
6	6:37
6	6:37
6	6:37
9	6:39
10	6:40
11	6:50
12	6:52
12	6:52
14	7:07
14	7:07
16	7:08
17	7:19
18	7:21
18	7:21
20	7:25
20	7:25
22	7:27
23	7:28
24	7:29
25	7:40
26	7:50
27	7:53
28	7:54
28	7:54
30	7:57
31	8:00
32	8:04
33	8:09
34	8:12
35	8:16
36	8:20
37	8:26
38	8:35
38	8:35
40	8:37
41	8:40
42	8:49
43	8:52
44	8:56
45	8:59
46	9:04
47	9:05
48	9:06
49	9:08
50	9:10
50	9:10
52	9:13
52	9:13
54	9:16
54	9:16
56	9:18
56	9:18
58	9:20
59	9:21
60	9:24
61	9:26
62	9:29
63	9:31
64	9:32
64	9:32
66	9:33
66	9:33
66	9:33
69	9:36
70	9:40
71	9:42
71	9:42
71	9:42
74	9:43
75	9:45
76	9:46
77	9:47
78	9:48
79	9:49
80	9:50
81	9:54
82	9:58
83	10:00
84	10:01
85	10:04
86	10:05
87	10:07
88	10:09
89	10:10
90	10:12
91	10:13
91	10:13
93	10:14
93	10:14
95	10:15
96	10:16
97	10:17
98	10:21
99	10:24
99	10:24
101	10:25
102	10:27
102	10:27
104	10:28
104	10:28
106	10:30
107	10:40
108	10:44
108	10:44
110	10:47
111	10:50
112	10:54
112	10:54
114	10:56
115	10:58
116	11:00
117	11:03
118	11:05
119	11:06
120	11:08
120	11:08
122	11:12
123	11:17
123	11:17
125	11:19
126	11:22
127	11:23
128	11:35
129	11:36
130	11:38
131	11:42
132	11:52
133	11:56
133	11:56
135	11:57
136	11:59
137	12:00
137	12:00
137	12:00
140	12:04
141	12:09
142	12:11
143	12:13
144	12:25
145	12:26
146	12:28
146	12:28
146	12:28
146	12:28
150	12:29
151	12:32
152	12:34
153	12:36
153	12:36
155	12:40
156	12:41
157	12:45
158	12:47
159	12:52
160	12:57
161	12:58
161	12:58
164	13:04
165	13:06
166	13:10
167	13:21
168	13:28
169	13:29
170	13:37
171	13:38
172	13:46
173	13:48
174	14:07
175	14:16
176	14:22
177	14:24
178	14:33
179	14:38
180	14:41
181	14:51
182	15:17
183	15:23
184	15:24
185	16:00
186	16:13
187	17:15
188	17:44
189	17:49
190	18:21
191	18:32
192	19:51
193	20:13
194	21:17
195	22:14
196	22:31
197	25:55
198	47:42
199	47:43

