,ŽD–y,ŽD–y,ŽD–y,ŽD–y
Jan-78,168,0,8,1
Feb-78,105,0,8,1
Mar-78,110.5,0,8,1
Apr-78,43.5,0,8,1
May-78,92,0,8,1
Jun-78,91.5,0,8,1
Jul-78,46,0,8,1
Aug-78,69.5,0,8,1
Sep-78,52.5,0,8,1
Oct-78,123,0,8,1
Nov-78,88.5,0,8,1
Dec-78,100,0,8,1
Jan-79,103.5,0,8,1
Feb-79,109,0,8,1
Mar-79,112,0,8,1
Apr-79,41,0,8,1
May-79,38,0,8,1
Jun-79,48,0,8,1
Jul-79,85.5,0,8,1
Aug-79,41.5,0,8,1
Sep-79,88.5,0,8,1
Oct-79,244.5,0,8,1
Nov-79,106,0,8,1
Dec-79,61,0,8,1
Jan-80,97,0,8,1
Feb-80,149,0,8,1
Mar-80,108,0,8,1
Apr-80,86,0,8,1
May-80,28,0,8,1
Jun-80,125.5,0,8,1
Jul-80,86,0,8,1
Aug-80,126,0,8,1
Sep-80,35,0,8,1
Oct-80,120.5,0,8,1
Nov-80,48,0,8,1
Dec-80,169.5,0,8,1
Jan-81,162,0,8,1
Feb-81,41,0,8,1
Mar-81,139,0,8,1
Apr-81,89.5,0,8,1
May-81,71,0,8,1
Jun-81,50,0,8,1
Jul-81,41,0,8,1
Aug-81,644,0,8,1
Sep-81,176.5,0,8,1
Oct-81,80.5,0,8,1
Nov-81,73.5,0,8,1
Dec-81,103.5,0,8,1
Jan-82,122,0,8,1
Feb-82,92,0,8,1
Mar-82,98,0,8,1
Apr-82,132.5,0,8,1
May-82,26.5,0,8,1
Jun-82,52.5,0,8,1
Jul-82,44.5,0,8,1
Aug-82,47,0,8,1
Sep-82,133,0,8,1
Oct-82,118.5,0,8,1
Nov-82,99.5,0,8,1
Dec-82,78.5,0,8,1
Jan-83,64,0,8,1
Feb-83,126,0,8,1
Mar-83,72.5,0,8,1
Apr-83,24.5,0,8,1
May-83,43,0,8,1
Jun-83,59,0,8,1
Jul-83,44,0,8,1
Aug-83,97,0,8,1
Sep-83,119.5,0,8,1
Oct-83,88.5,0,8,1
Nov-83,85,0,8,1
Dec-83,62,0,8,1
Jan-84,70.5,0,8,1
Feb-84,148.5,0,8,1
Mar-84,81,0,8,1
Apr-84,32.5,0,8,1
May-84,34,0,8,1
Jun-84,38,0,8,1
Jul-84,44.5,0,8,1
Aug-84,39,0,8,1
Sep-84,53.5,0,8,1
Oct-84,77,0,8,1
Nov-84,43,0,8,1
Dec-84,63.5,0,8,1
Jan-85,156.5,0,8,1
Feb-85,99.5,0,8,1
Mar-85,39,0,8,1
Apr-85,54.5,0,8,1
May-85,14,0,8,1
Jun-85,9,0,8,1
Jul-85,107,0,8,1
Aug-85,43,0,8,1
Sep-85,164.5,0,8,1
Oct-85,173,0,8,1
Nov-85,69,0,8,1
Dec-85,124.5,0,8,1
Jan-86,121,0,8,1
Feb-86,60.5,0,8,1
Mar-86,87.5,0,8,1
Apr-86,53,0,8,1
May-86,48,0,8,1
Jun-86,23.5,0,8,1
Jul-86,66.5,0,8,1
Aug-86,71,0,8,1
Sep-86,202,0,8,1
Oct-86,208.5,0,8,1
Nov-86,82.5,0,8,1
Dec-86,104,0,8,1
Jan-87,119,0,8,1
Feb-87,82,0,8,1
Mar-87,82.5,0,8,1
Apr-87,38.5,0,8,1
May-87,64.5,0,8,1
Jun-87,17,0,8,1
Jul-87,98.5,0,8,1
Aug-87,134.5,0,8,1
Sep-87,55,0,8,1
Oct-87,118.5,0,8,1
Nov-87,77,0,8,1
Dec-87,110.5,0,8,1
Jan-88,76,0,8,1
Feb-88,104.5,0,8,1
Mar-88,66.5,0,8,1
Apr-88,61.5,0,8,1
May-88,91.5,0,8,1
Jun-88,79.5,0,8,1
Jul-88,24,0,8,1
Aug-88,165,0,8,1
Sep-88,70,0,8,1
Oct-88,101.5,0,8,1
Nov-88,137,0,8,1
Dec-88,144,0,8,1
Jan-89,60,0,8,1
Feb-89,27.5,0,8,1
Mar-89,64,0,8,1
Apr-89,68.5,0,8,1
May-89,50,0,8,1
Jun-89,91,0,8,1
